MEGA_NM,SCHOOL_NM,x,y
인천광역시,한국폴리텍II대학인천캠퍼스,126.6765663974,37.4719983524
강원도,한국폴리텍III대학춘천캠퍼스,127.7788601455,37.7992850053
대전광역시,한국폴리텍IV대학대전캠퍼스,127.4542825437,36.3509156401
충청남도,한국폴리텍IV대학홍성캠퍼스,126.6569893394,36.5830208263
전라북도,한국폴리텍V대학김제캠퍼스,126.9402587480,35.8100754639
전라북도,한국폴리텍V대학익산캠퍼스,126.9915778310,35.9518208459
경상북도,한국폴리텍VI대학구미캠퍼스,128.3757609187,36.5049793816
부산광역시,한국폴리텍VII대학부산캠퍼스,129.0199700433,35.2188151541
경상남도,한국폴리텍VII대학창원캠퍼스,128.6685755190,35.2272372508
전라남도,한국폴리텍V대학목포캠퍼스,126.4297272109,34.9231142808
경기도,한국폴리텍여자대학,127.1764936941,37.0083391916
부산광역시,한국해양대학교,129.0907722588,35.0766516168
경상북도,한동대학교,129.3884529436,36.1030906649
전라남도,한려대학교,127.5638145654,34.9566962008
강원도,한림성심대학,127.7558140525,37.8981011565
대전광역시,한밭대학교,127.3010534856,36.3511559076
충청남도,한서대학교,126.5841492457,36.6911536880
경기도,한세대학교,126.9533229816,37.3455134662
경기도,한양대학교(ERICA),126.8353899874,37.2966740783
서울특별시,한양대학교,127.0446470138,37.5559356437
서울특별시,한양여자대학,127.0498891573,37.5584647762
전라남도,한영대학,127.7144232873,34.7536402903
강원도,한중대학교,129.0877242084,37.5053715172
충청남도,혜전대학,126.6599138387,36.5799627383
충청남도,호서대학교,127.0751174892,36.7363919511
충청남도,홍익대학교(조치원),127.2884066853,36.6203220190
부산광역시,화신사이버대학교,129.1030680337,35.1858340753
경상남도,경남도립남해대학,127.8976046965,34.8370029702
대구광역시,경북대학교,128.6113885321,35.8900458340
경기도,경원대학교,127.1288631632,37.4507834426
인천광역시,경인여자대학,126.7227423484,37.5487060391
경기도,경희대학교(국제),127.0788452066,37.2449131341
서울특별시,고려사이버대학교,126.9868805309,37.5868470547
전라남도,광주가톨릭대학교,126.8630447790,35.0168609113
