공원명,위도,경도
문화1길 공원,35.976697,126.7049266
삼화3길 공원,35.975881,126.7087031
역사,36.008071,126.7589306
오식묘지,35.965034,126.5562804
생말,35.969941,126.569422
새만금비응,35.943889,126.538981
공원,35.98162066,126.743341
근린공원,35.96237883,126.737472
근린공원,35.95990888,126.725574
근린공원,35.96538361,126.7287023
근린공원,35.967084,126.723873
근린공원,35.993739,126.758679
근린공원,35.994469,126.755318
근린공원,36.001087,126.759007
근린공원,36.002052,126.755587
29호,35.966089,126.711365
28호,35.96114973,126.690801
27호,35.94124435,126.6939883
구암,35.986935,126.742262
금강,36.007161,126.7552598
요죽,35.94785081,126.5242094
공단3,35.957427,126.576609
공단2,35.95915684,126.590474
지곡,35.94591783,126.705118
은파,35.950362,126.704113
내초,35.950604,126.5896417
오식,35.966894,126.5564164
중앙2호,35.950211,126.549793
중앙1호,35.9603083,126.546938
분말,35.962556,126.574563
입이도,35.975635,126.6454449
나운,35.95963318,126.6966165
새들,35.962168,126.709142
흥남,35.975527,126.7224045
통매,35.960292,126.741309
군봉,35.974663,126.7496662
가도,35.94792411,126.5722488
비응도,35.947808,126.5242094
월명공원,35.980171,126.696242
공단1공원,35.960737,126.584143
55호 공원,35.960691,126.868279
56호 공원,35.959166,126.8709732
공원,35.94438065,126.6344874
공원,35.943377,126.637285
서래공원,35.982959,126.725081
강변공원,35.984402,126.722329
공원,35.922886,126.685392
해망공원,35.99018482,126.7012972
월명2공원,35.984266,126.703204
신흥공원,35.988542,126.7051982
배산 공원,35.95988861,126.9403708
북일공원,35.969643,126.950426
함열공원,36.0827881,126.9583587
보덕공원,35.995109,127.0470874
금마공원,35.99530083,127.0542674
황등공원,36.0122688,126.9389384
춘포공원,35.9008256,127.0098667
무학공원,36.1196024,126.9503023
여산공원,36.0610653,127.0766477
모인공원,35.95764191,126.952067
송학공원,35.9398192,126.9274914
동산1호 공원,35.93490618,126.9686251
동산2호 공원,35.93038786,126.9640437
신동6호,35.9593148,126.9659244
신동3호,35.96030876,126.9590974
신동8호,35.9598594,126.9562694
신동5호,35.960119,126.963999
신동4호,35.9610306,126.9606906
신동9호,35.9633588,126.956454
신동2호,35.95746751,126.9557643
신동1호,35.9548188,126.9606523
신동7호,35.9576186,126.9647748
남당공원,36.07452406,126.980164
남부6호공원,35.9283162,126.947182
남부5호공원,35.9276219,126.9532902
남부4호공원,35.92812939,126.957319
남부3호공원,35.929352,126.9531478
남부2호공원,35.9300149,126.9508274
남부1호공원,35.953164,126.9764808
영등1차 1호공원,35.9311344,126.945985
영등1차 2호공원,35.9534224,126.9794857
중앙공원,36.07343819,126.9619405
마동2호공원,35.9336323,126.9596907
마동3호공원,35.93521271,126.9632965
마동1호공원,35.9361459,126.9608325
마동4호공원,35.932436,126.9622017
팔봉공원,35.96450133,126.9945958
익산묘지공원,35.97255928,127.0171795
제2공단,35.95133082,126.9999321
용제 공원,35.95227859,127.0039586
수도산공원,35.9342824,126.9770166
마동공원,35.94123279,126.967189
부송2호,35.9549268,126.9916765
부송1호,35.9547209,126.9961655
부송지구공원,35.9586361,126.9894991
소라공원,35.95212309,126.9645889
신흥공원,35.94973086,126.9861275
영등시민공원,35.96291592,126.9777362
어양공원,35.95627579,126.9835102
영등2차2호공원,35.96025162,126.9805651
영등2차1호공원,35.9623753,126.973332
영등2차4호공원,35.9578082,126.9822908
영등2차3호공원,35.9616426,126.9819277
영등2차5호공원,35.95611064,126.979232
영등3차1호공원,35.95645305,126.9742031
부송3차공원,35.9617411,126.9915658
팔봉 제2공원(18호),35.96176079,127.0045826
팔봉 제3공원(19호),35.95628508,127.0177329
팔봉제1공원(17호),35.9507088,127.0159506
영등3차1호공원,35.9550155,126.9704958
어양3차1호공원,35.95925989,126.9842196
부송3호 공원,35.96244793,126.9871628
배산택지3호공원,35.95286194,126.9390051
배산택지4호공원,35.95632593,126.9382575
배산택지2호공원,35.95907678,126.938783
배산택지1호공원,35.95963525,126.9381973
배산택지6호공원,35.95049382,126.9396808
배산택지5호공원,35.95082476,126.9382529
배산택지1호공원,35.95935055,126.9383793
배산택지2호공원,35.95212683,126.9328206
배산택지3호공원,35.95097681,126.9395164
1호공원 (왕궁온천),35.92879914,127.0540029
2호공원 (왕궁온천),35.92324097,127.0584636
5호어린이공원 (왕궁온천),35.9229962,127.055745
2호어린이공원 (왕궁온천),35.925358,127.0582102
4호어린이공원 (왕궁온천),35.9247144,127.0577521
3호어린이공원 (왕궁온천),35.92556722,127.0592827
1호어린이공원 (왕궁온천),35.9208928,127.0779121
쌍릉공원,35.9788581,127.0314937
다송1공원(제4산단),36.03204459,126.955818
다송2공원(제4산단),36.03204459,126.955818
누리공원,36.03940234,126.9860273
물결공원,36.04217312,127.0034935
삼기공원,36.0401401,126.9841866
새말공원,36.0253159,126.9865293
옛길공원,36.03771583,126.9912774
바람공원,36.0278733,126.9981681
두레공원,36.04822435,126.9981415
여산 숲정이 성지공원,36.06177125,127.0835044
와리공원,36.07751423,126.9654647
돌숲공원,36.07343819,126.9619405
제1호 수변공원,35.960123,126.9970095
제2호 수변공원,35.92649506,126.9632575
근린공원1(국가식품클러스터),35.97951727,127.0829077
근린공원2(국가식품클러스터),35.98539704,127.0850742
소공원(국가식품클러스터),35.96830045,127.0892277
소공원(행복주택),35.92684521,126.9553346
공원(왕궁농공단지),35.9889484,127.0946397
근린공원3(국가식품클러스터),35.97138646,127.0760032
103호 공원(함열농공단지),36.0899591,126.9601874
104호 공원(함열농공단지),36.09201851,126.9631505
평화소공원1(무넘이지구),35.93312761,126.941149
평화소공원2(무넘이지구),35.93312761,126.941149
한울공원,36.04142909,126.9978739
새마을공원,35.442191,126.697528
월곡공원,35.438772,126.711801
월곡1공원,35.43357362,126.714254
고창읍성,35.432607,126.703879
근린공원,35.413059,126.671831
흥덕공원,35.52458075,126.7006824
덕산공원,35.42703733,126.6955878
월곡공원,35.436268,126.709708
월곡공원,35.436185,126.7140989
공원,35.51871246,126.704135
월곡2공원,35.43181571,126.718274
외정공원,35.431305,126.742774
공원,35.427324,126.6993173
공원,35.339432,126.597932
공원,35.338803,126.597111
